与謝 蕪村 ,Yosa Buson ,Yosa Buson ,1716 – 1784 ,,
黒柳召波 ,Kuroyanagi Shōha,Kuroyanagi Shoha,1727-1771 ,,
内田百閒,Uchida Hyakken,Uchida Hyakken,1889 — 1971 ,,
喜多村立以,Kitamura Ryūi ,Kitamura Ryui ,,,
早川丈石,Hayakawa Jōseki ,Hayakawa Joseki ,"1695-1779
",,
川合智月,Kawai Chigetsu,Kawai Chigetsu,1633 – 1718,,
水間沾徳,Mizuma Sentoku,Mizuma Sentoku,1662 - 1726 ,,
貴志沾洲,Kishi Senshū,Kishi Senshu,1671－1742 ,,
大高子葉,Otaka Shiyō,Otaka Shiyo,1672 – 1703,,
坂本朱拙,Sakamoto Shusetsu ,Sakamoto Shusetsu ,1656 – 1733,,
中川乙由,Nakagawa Otsuyū,Nakagawa Otsuyu,1675 – 1739,,
稲津祇空,Inatsu Gikū,Inatsu Giku,1663 – 1733,,
秋色,Shūshiki,Shushiki,1669 – 1725,,
立羽不角,Tachiba Fukaku,Tachiba Fukaku,1661 – 1753,,
松木淡々,Matsuki Tantan,Matsuki Tantan,1674 – 1761,,
仙石廬元坊,Sengoku Rogenbō,Sengoku Rogenbo,1688 – 1747,,
桜井吏登,Sakurai Ritō,Sakurai Rito,1681 – 1755,,
長谷川馬光,Hasegawa Bakō,Hasegawa Bako,1685 – 1751,,
佐久間柳居,Sakuma Ryūkyo,Sakuma Ryukyo,1695 – 1748,,
和田希因,Wada Kiin,Wada Kiin,1700 – 1750,,
白井鳥酔,Shirai Chōsui,Shirai Chosui,1701 – 1769,,
早野巴人,Hayano Hajin,Hayano Hajin,1677 – 1742,,
横井也有,Yokoi Yayū,Yokoi Yayu,1702 - 1783,,
千代女,Chiyojo,Chiyojo,1703 – 1775,,
,,,,,
有井諸九,Arii Shokyū,Arii Shokyu,1714 – 1781,,
溝口素丸,Mizoguchi Somaru,Mizoguchi Somaru,1713 – 1795,,
大島 蓼太,Oshima Ryōta,Oshima Ryota,1718 – 1787,,
炭太祇,Tan Taigi,Tan Taigi,1709 – 1771,,
三宅嘯山,Miyake Shōzan,Miyake Shozan,1718 – 1801,,
建部涼袋,Takebe Ryōtai,Takebe Ryotai,1719 – 1774,,
堀麦水,Hori Bakusui,Hori Bakusui,1718 – 1783,,
勝見二柳,Katsumi Jiryū,Katsumi Jiryu,1723 – 1803,,
高桑蘭更,Takakuwa Rankō,Takakuwa Ranko,1726 – 1798,,
加藤暁台,Katō Kyōdai,Kato Kyodai,1732 – 1792,,
三浦樗良,Miura Chora,Miura Chora,1729 – 1780,,
吉分大魯,Yoshiwake Tairo,Yoshiwake Tairo,1730 - 1778),,
上田無腸,Ueda Muchō,Ueda Mucho,1734 – 1809,,
高井几菫,Takai Kitō,Takai Kito,1741 – 1789,,
吉分大魯,Yoshiwake Tairo,Yoshiwake Tairo,1730 – 1778,,
